"rmsea","cfi","version","fac.corr","cor.resi","mech","place","per.miss","num.var.miss","num.cor","samp"
0.014594,-0.005762,"FIML",0,0,0,"SF",0,"2",1,200
0.014594,-0.005762,"FIML-C V0",0,0,0,"SF",0,"2",1,200
0.012244,-0.004939,"FIML-C V1",0,0,0,"SF",0,"2",1,200
0.012315,-0.005495,"FIML-C V2",0,0,0,"SF",0,"2",1,200
0.015353,-0.006128,"FIML-C V3",0,0,0,"SF",0,"2",1,200
0.014594,-0.005762,"FIML-C V4",0,0,0,"SF",0,"2",1,200
0.002833,-0.01898,"FIML-C V5",0,0,0,"SF",0,"2",1,200
0.014594,-0.005762,"FIML-C V6",0,0,0,"SF",0,"2",1,200
0.014594,-0.005762,"TS V0",0,0,0,"SF",0,"2",1,200
0.011539,-0.004622,"TS V1",0,0,0,"SF",0,"2",1,200
0.014655,-0.005792,"TS V2",0,0,0,"SF",0,"2",1,200
-0.00081,-0.003389,"FIML",0,1,0,"SF",0,"2",1,200
-0.00081,-0.003389,"FIML-C V0",0,1,0,"SF",0,"2",1,200
-0.003786,-0.002292,"FIML-C V1",0,1,0,"SF",0,"2",1,200
-0.003487,-0.003275,"FIML-C V2",0,1,0,"SF",0,"2",1,200
-0.000107,-0.003787,"FIML-C V3",0,1,0,"SF",0,"2",1,200
-0.00081,-0.003389,"FIML-C V4",0,1,0,"SF",0,"2",1,200
-0.015432,-0.026835,"FIML-C V5",0,1,0,"SF",0,"2",1,200
-0.00081,-0.003389,"FIML-C V6",0,1,0,"SF",0,"2",1,200
-0.00081,-0.003389,"TS V0",0,1,0,"SF",0,"2",1,200
-0.00456,-0.001894,"TS V1",0,1,0,"SF",0,"2",1,200
-0.000835,-0.003382,"TS V2",0,1,0,"SF",0,"2",1,200
-0.001442,-0.0017,"FIML",0,2,0,"SF",0,"2",1,200
-0.001442,-0.0017,"FIML-C V0",0,2,0,"SF",0,"2",1,200
-0.005008,5.9e-05,"FIML-C V1",0,2,0,"SF",0,"2",1,200
-0.004446,-0.002747,"FIML-C V2",0,2,0,"SF",0,"2",1,200
-0.000821,-0.002227,"FIML-C V3",0,2,0,"SF",0,"2",1,200
-0.001442,-0.0017,"FIML-C V4",0,2,0,"SF",0,"2",1,200
-0.020276,-0.079862,"FIML-C V5",0,2,0,"SF",0,"2",1,200
-0.001442,-0.0017,"FIML-C V6",0,2,0,"SF",0,"2",1,200
-0.001442,-0.0017,"TS V0",0,2,0,"SF",0,"2",1,200
-0.005737,0.000652,"TS V1",0,2,0,"SF",0,"2",1,200
-0.001453,-0.00168,"TS V2",0,2,0,"SF",0,"2",1,200
-0.000444,-0.001477,"FIML",0,3,0,"SF",0,"2",1,200
-0.000444,-0.001477,"FIML-C V0",0,3,0,"SF",0,"2",1,200
-0.004168,0.00082,"FIML-C V1",0,3,0,"SF",0,"2",1,200
-0.003423,-0.005118,"FIML-C V2",0,3,0,"SF",0,"2",1,200
-6e-05,-0.001992,"FIML-C V3",0,3,0,"SF",0,"2",1,200
-0.000444,-0.001477,"FIML-C V4",0,3,0,"SF",0,"2",1,200
-0.017356,-0.06006,"FIML-C V5",0,3,0,"SF",0,"2",1,200
-0.000444,-0.001477,"FIML-C V6",0,3,0,"SF",0,"2",1,200
-0.000444,-0.001477,"TS V0",0,3,0,"SF",0,"2",1,200
-0.004628,0.001404,"TS V1",0,3,0,"SF",0,"2",1,200
-0.00045,-0.001474,"TS V2",0,3,0,"SF",0,"2",1,200
0.000165,-0.001576,"FIML",0,4,0,"SF",0,"2",1,200
0.000165,-0.001576,"FIML-C V0",0,4,0,"SF",0,"2",1,200
-0.003277,0.000221,"FIML-C V1",0,4,0,"SF",0,"2",1,200
-0.003004,-0.007068,"FIML-C V2",0,4,0,"SF",0,"2",1,200
0.000469,-0.002039,"FIML-C V3",0,4,0,"SF",0,"2",1,200
0.000165,-0.001576,"FIML-C V4",0,4,0,"SF",0,"2",1,200
-0.018898,-0.061382,"FIML-C V5",0,4,0,"SF",0,"2",1,200
0.000165,-0.001576,"FIML-C V6",0,4,0,"SF",0,"2",1,200
0.000165,-0.001576,"TS V0",0,4,0,"SF",0,"2",1,200
-0.003626,0.000721,"TS V1",0,4,0,"SF",0,"2",1,200
0.000173,-0.00159,"TS V2",0,4,0,"SF",0,"2",1,200
0.014429,-0.005544,"FIML",1,0,0,"SF",0,"2",1,200
0.014429,-0.005544,"FIML-C V0",1,0,0,"SF",0,"2",1,200
0.011802,-0.004562,"FIML-C V1",1,0,0,"SF",0,"2",1,200
0.0124,-0.005849,"FIML-C V2",1,0,0,"SF",0,"2",1,200
0.015302,-0.005939,"FIML-C V3",1,0,0,"SF",0,"2",1,200
0.014429,-0.005544,"FIML-C V4",1,0,0,"SF",0,"2",1,200
0.002905,-0.016059,"FIML-C V5",1,0,0,"SF",0,"2",1,200
0.014429,-0.005544,"FIML-C V6",1,0,0,"SF",0,"2",1,200
0.014429,-0.005544,"TS V0",1,0,0,"SF",0,"2",1,200
0.011145,-0.004266,"TS V1",1,0,0,"SF",0,"2",1,200
0.014581,-0.005612,"TS V2",1,0,0,"SF",0,"2",1,200
3.4e-05,-0.003713,"FIML",1,1,0,"SF",0,"2",1,200
3.4e-05,-0.003713,"FIML-C V0",1,1,0,"SF",0,"2",1,200
-0.003324,-0.002253,"FIML-C V1",1,1,0,"SF",0,"2",1,200
-0.002506,-0.004423,"FIML-C V2",1,1,0,"SF",0,"2",1,200
0.000712,-0.004113,"FIML-C V3",1,1,0,"SF",0,"2",1,200
3.4e-05,-0.003713,"FIML-C V4",1,1,0,"SF",0,"2",1,200
-0.015358,-0.021131,"FIML-C V5",1,1,0,"SF",0,"2",1,200
3.4e-05,-0.003713,"FIML-C V6",1,1,0,"SF",0,"2",1,200
3.4e-05,-0.003713,"TS V0",1,1,0,"SF",0,"2",1,200
-0.004071,-0.001855,"TS V1",1,1,0,"SF",0,"2",1,200
-5e-05,-0.003705,"TS V2",1,1,0,"SF",0,"2",1,200
-0.001385,-0.001648,"FIML",1,2,0,"SF",0,"2",1,200
-0.001385,-0.001648,"FIML-C V0",1,2,0,"SF",0,"2",1,200
-0.005124,0.000616,"FIML-C V1",1,2,0,"SF",0,"2",1,200
-0.004316,-0.004822,"FIML-C V2",1,2,0,"SF",0,"2",1,200
-0.000844,-0.00213,"FIML-C V3",1,2,0,"SF",0,"2",1,200
-0.001385,-0.001648,"FIML-C V4",1,2,0,"SF",0,"2",1,200
-0.020286,-0.052722,"FIML-C V5",1,2,0,"SF",0,"2",1,200
-0.001385,-0.001648,"FIML-C V6",1,2,0,"SF",0,"2",1,200
-0.001385,-0.001648,"TS V0",1,2,0,"SF",0,"2",1,200
-0.005863,0.001192,"TS V1",1,2,0,"SF",0,"2",1,200
-0.00146,-0.0016,"TS V2",1,2,0,"SF",0,"2",1,200
0.000153,-0.002329,"FIML",1,3,0,"SF",0,"2",1,200
0.000153,-0.002329,"FIML-C V0",1,3,0,"SF",0,"2",1,200
-0.003483,0.000544,"FIML-C V1",1,3,0,"SF",0,"2",1,200
-0.003146,-0.010173,"FIML-C V2",1,3,0,"SF",0,"2",1,200
0.000554,-0.002883,"FIML-C V3",1,3,0,"SF",0,"2",1,200
0.000153,-0.002329,"FIML-C V4",1,3,0,"SF",0,"2",1,200
-0.017439,-0.070562,"FIML-C V5",1,3,0,"SF",0,"2",1,200
0.000153,-0.002329,"FIML-C V6",1,3,0,"SF",0,"2",1,200
0.000153,-0.002329,"TS V0",1,3,0,"SF",0,"2",1,200
-0.003928,0.001112,"TS V1",1,3,0,"SF",0,"2",1,200
0.000182,-0.00238,"TS V2",1,3,0,"SF",0,"2",1,200
-0.000493,-0.001172,"FIML",1,4,0,"SF",0,"2",1,200
-0.000493,-0.001172,"FIML-C V0",1,4,0,"SF",0,"2",1,200
-0.003726,0.00116,"FIML-C V1",1,4,0,"SF",0,"2",1,200
-0.004145,-0.011909,"FIML-C V2",1,4,0,"SF",0,"2",1,200
-0.000206,-0.001617,"FIML-C V3",1,4,0,"SF",0,"2",1,200
-0.000493,-0.001172,"FIML-C V4",1,4,0,"SF",0,"2",1,200
-0.020825,-0.051597,"FIML-C V5",1,4,0,"SF",0,"2",1,200
-0.000493,-0.001172,"FIML-C V6",1,4,0,"SF",0,"2",1,200
-0.000493,-0.001172,"TS V0",1,4,0,"SF",0,"2",1,200
-0.004061,0.001651,"TS V1",1,4,0,"SF",0,"2",1,200
-0.000492,-0.001177,"TS V2",1,4,0,"SF",0,"2",1,200
0.015542,-0.005377,"FIML",2,0,0,"SF",0,"2",1,200
