"rmsea","cfi","version","fac.corr","mech","pattern","per.miss","num.var.miss","samp"
0.014111,-0.004394,"FIML",1,0," min",0,2,200
0.014111,-0.004394,"FIML-C V0",1,0," min",0,2,200
0.00976,-0.002689,"FIML-C V1",1,0," min",0,2,200
0.01263,-0.008588,"FIML-C V2",1,0," min",0,2,200
0.01488,-0.004696,"FIML-C V3",1,0," min",0,2,200
0.014111,-0.004394,"FIML-C V4",1,0," min",0,2,200
0.00237,-0.022516,"FIML-C V5",1,0," min",0,2,200
0.014111,-0.004394,"FIML-C V6",1,0," min",0,2,200
0.014111,-0.004394,"TS V0",1,0," min",0,2,200
0.009122,-0.002485,"TS V1",1,0," min",0,2,200
0.01413,-0.004429,"TS V2",1,0," min",0,2,200
-0.001278,-0.001773,"FIML",0.9,0," min",0,2,200
-0.001278,-0.001773,"FIML-C V0",0.9,0," min",0,2,200
-0.007151,0.003193,"FIML-C V1",0.9,0," min",0,2,200
-0.003652,-0.016921,"FIML-C V2",0.9,0," min",0,2,200
-0.000679,-0.002266,"FIML-C V3",0.9,0," min",0,2,200
-0.001278,-0.001773,"FIML-C V4",0.9,0," min",0,2,200
-0.019083,-0.07531,"FIML-C V5",0.9,0," min",0,2,200
-0.001278,-0.001773,"FIML-C V6",0.9,0," min",0,2,200
-0.001278,-0.001773,"TS V0",0.9,0," min",0,2,200
-0.00795,0.003707,"TS V1",0.9,0," min",0,2,200
-0.00134,-0.00177,"TS V2",0.9,0," min",0,2,200
-0.000302,-0.001281,"FIML",0.8,0," min",0,2,200
-0.000302,-0.001281,"FIML-C V0",0.8,0," min",0,2,200
-0.005647,0.007762,"FIML-C V1",0.8,0," min",0,2,200
-0.00376,-0.037861,"FIML-C V2",0.8,0," min",0,2,200
3.6e-05,-0.001799,"FIML-C V3",0.8,0," min",0,2,200
-0.000302,-0.001281,"FIML-C V4",0.8,0," min",0,2,200
-0.015267,-0.116047,"FIML-C V5",0.8,0," min",0,2,200
-0.000302,-0.001281,"FIML-C V6",0.8,0," min",0,2,200
-0.000302,-0.001281,"TS V0",0.8,0," min",0,2,200
-0.006066,0.00837,"TS V1",0.8,0," min",0,2,200
-0.000295,-0.001292,"TS V2",0.8,0," min",0,2,200
-0.000747,-0.00105,"FIML",0.7,0," min",0,2,200
-0.000747,-0.00105,"FIML-C V0",0.7,0," min",0,2,200
