"rmsea","cfi","version","fac.corr","mech","pattern","per.miss","num.var.miss","samp"
0.021046,0.007503,"FIML",1,"MCAR","min",0,2,200
0.021046,0.007503,"FIML-C V0",1,"MCAR","min",0,2,200
0.016831,0.005363,"FIML-C V1",1,"MCAR","min",0,2,200
0.019694,0.034398,"FIML-C V2",1,"MCAR","min",0,2,200
0.021763,0.007859,"FIML-C V3",1,"MCAR","min",0,2,200
0.021046,0.007503,"FIML-C V4",1,"MCAR","min",0,2,200
0.007502,0.148342,"FIML-C V5",1,"MCAR","min",0,2,200
0.021046,0.007503,"FIML-C V6",1,"MCAR","min",0,2,200
0.021046,0.007503,"TS V0",1,"MCAR","min",0,2,200
0.016178,0.005112,"TS V1",1,"MCAR","min",0,2,200
0.021131,0.007575,"TS V2",1,"MCAR","min",0,2,200
0.016678,0.014275,"FIML",0.9,"MCAR","min",0,2,200
0.016678,0.014275,"FIML-C V0",0.9,"MCAR","min",0,2,200
0.019201,0.013244,"FIML-C V1",0.9,"MCAR","min",0,2,200
0.017334,0.029864,"FIML-C V2",0.9,"MCAR","min",0,2,200
0.016535,0.014474,"FIML-C V3",0.9,"MCAR","min",0,2,200
0.016678,0.014275,"FIML-C V4",0.9,"MCAR","min",0,2,200
0.025917,0.286028,"FIML-C V5",0.9,"MCAR","min",0,2,200
0.016678,0.014275,"FIML-C V6",0.9,"MCAR","min",0,2,200
0.016678,0.014275,"TS V0",0.9,"MCAR","min",0,2,200
0.019736,0.013309,"TS V1",0.9,"MCAR","min",0,2,200
0.016851,0.014385,"TS V2",0.9,"MCAR","min",0,2,200
0.013409,0.022803,"FIML",0.8,"MCAR","min",0,2,200
0.013409,0.022803,"FIML-C V0",0.8,"MCAR","min",0,2,200
0.014506,0.022849,"FIML-C V1",0.8,"MCAR","min",0,2,200
0.013433,0.050306,"FIML-C V2",0.8,"MCAR","min",0,2,200
0.013343,0.022835,"FIML-C V3",0.8,"MCAR","min",0,2,200
0.013409,0.022803,"FIML-C V4",0.8,"MCAR","min",0,2,200
0.021064,0.348858,"FIML-C V5",0.8,"MCAR","min",0,2,200
0.013409,0.022803,"FIML-C V6",0.8,"MCAR","min",0,2,200
0.013409,0.022803,"TS V0",0.8,"MCAR","min",0,2,200
0.014746,0.023054,"TS V1",0.8,"MCAR","min",0,2,200
0.01341,0.02281,"TS V2",0.8,"MCAR","min",0,2,200
0.013392,0.03204,"FIML",0.7,"MCAR","min",0,2,200
0.013392,0.03204,"FIML-C V0",0.7,"MCAR","min",0,2,200
0.014816,0.033171,"FIML-C V1",0.7,"MCAR","min",0,2,200
0.013912,0.06177,"FIML-C V2",0.7,"MCAR","min",0,2,200
