"","FC=0.8;CR=0","FC=0.8;CR=0.1","FC=0.8;CR=0.2","FC=0.8;CR=0.3","FC=0.8;CR=0.4"
"Wm_str.pos.def",0.999,0.996,0.83,0.018,0
"Wcm.obs_str.pos.def",0.997,0.991,0.811,0.019,0
"Wcm.exp_str.pos.def",1,1,1,1,1
"Wcm.obs_unstr.pos.def",1,1,1,1,1
"Wm_unstr.pos.def",1,1,1,1,1
"WmB_str.pos.def",0,0,0,0,0
"WcmB.obs_str.pos.def",0,0,0,0,0
"WcmB.exp_str.pos.def",1,1,1,1,1
"fit.str.incomp.pos.def.implied",1,1,1,1,1
"fit.str.comp.pos.def.implied",1,1,1,1,1
"fit.base.incomp.pos.def.implied",1,1,1,1,0.998
"fit.base.compos.def.implied",1,1,1,1,1
"fit.str.incomp.pos.def.vcov",1,1,1,1,1
"fit.str.comp.pos.def.vcov",1,1,1,1,1
"fit.base.incomp.pos.def.vcov",1,1,1,1,0.998
"fit.base.comp.pos.def.vcov",1,1,1,1,1
"fit.str.incomp.mod.converge",1,1,1,1,1
"fit.str.comp.mod.converge",1,1,1,1,1
"fit.base.incomp.mod.converge",1,1,1,1,1
"fit.base.comp.mod.converge",1,1,1,1,1
"k.obs_str.great.zero",1,1,0.998,0.994,0.991
"kb.obs_str.great.zero",0.976,0.984,0.991,0.987,0.988
"k.obs_str.k.less.kb",0.845,0.88,0.916,0.897,0.914
"k.obs_str.k.less.chi",0.555,0.842,0.999,0.996,0.997
"kb.obs_str.kb.less.chiB",1,0.999,0.999,1,1
"k.obs.nonn_str.great.zero",1,1,1,1,1
"kb.obs.nonn_str.great.zero",0.982,0.981,0.969,0.974,0.94
"k.obs.nonn_str.k.less.kb",0.573,0.499,0.401,0.33,0.239
"k.obs.nonn_str.k.less.chi",0.782,1,1,1,0.189
"kb.obs.nonn_str.kb.less.chiB",1,1,1,1,1
"k.exp_str.great.zero",1,0.998,0.964,0.865,0.777
"kb.exp_str.great.zero",0.534,0.495,0.475,0.491,0.521
"k.exp_str.k.less.kb",0.459,0.421,0.382,0.41,0.421
"k.exp_str.k.less.chi",0.987,1,0.983,0.399,0.533
"kb.exp_str.kb.less.chiB",0.889,0.92,0.953,0.918,0.938
"k.exp.nonn_str.great.zero",1,1,1,1,1
"kb.exp.nonn_str.great.zero",1,1,1,1,1
"k.exp.nonn_str.k.less.kb",1,1,1,1,1
"k.exp.nonn_str.k.less.chi",1,1,0.381,0.457,0.903
"kb.exp.nonn_str.kb.less.chiB",1,1,0.999,1,1
"k.obs_unstr.great.zero",1,1,1,1,1
"kb.obs_unstr.great.zero",1,1,1,1,1
"k.obs_unstr.k.less.kb",1,1,1,1,1
"k.obs_unstr.k.less.chi",1,0.546,0.847,1,1
"kb.obs_unstr.kb.less.chiB",1,1,1,1,1
"k.obs.nonn_unstr.great.zero",1,1,1,1,1
"kb.obs.nonn_unstr.great.zero",1,1,1,1,1
"k.obs.nonn_unstr.k.less.kb",1,1,1,1,1
"k.obs.nonn_unstr.k.less.chi",0.588,0.869,0.998,1,1
"kb.obs.nonn_unstr.kb.less.chiB",1,1,1,1,1
"cfi.obs_str.pass.5",0.476,0.743,0.912,0.891,0.905
"cfi.obs.nonn_str.pass.5",0.456,0.499,0.401,0.33,0.049
"cfi.exp_str.pass.5",0.341,0.339,0.313,0.098,0.118
"cfi.exp.nonn_str.pass.5",1,1,0.381,0.457,0.903
"cfi.obs_unstr.pass.5",1,0.546,0.847,1,1
"cfi.obs.nonn_unstr.pass.5",0.588,0.869,0.998,1,1
"cfi.fiml.equal.zero",0,0,0,0,0
"cfi.uncor.fimlc.equal.zero",0,0,0,0,0
"cfi.cor.obs_str.equal.zero",0,0,0.002,0.001,0.002
"cfi.cor.obs.nonn_str.equal.zero",0,0,0,0,0
"cfi.cor.exp_str.equal.zero",0.024,0.04,0.06,0.073,0.064
"cfi.cor.exp.nonn_str.equal.zero",0,0,0,0,0
"cfi.cor.obs_unstr.equal.zero",0,0,0,0,0
"cfi.cor.obs.nonn_unstr.equal.zero",0,0,0,0,0
"cfi.fiml.equal.one",0.444,0.149,0,0,0
"cfi.uncor.fimlc.equal.one",0.293,0.076,0,0,0
"cfi.cor.obs_str.equal.one",0.438,0.143,0.001,0.004,0.003
"cfi.cor.obs.nonn_str.equal.one",0.543,0.216,0.002,0,0
"cfi.cor.exp_str.equal.one",0.832,0.519,0.105,0.09,0.058
