"","CR=0","CR=0.1","CR=0.2","CR=0.3","CR=0.4","CR=0","CR=0.1","CR=0.2","CR=0.3","CR=0.4"
"rmsea",0,0.0337303313461817,0.0706374897500186,0.114762724560868,0.174890630107566,0,0.0337303313461817,0.0706374897500186,0.114762724560868,0.174890630107566
"rmsea.fiml",0.015380257,0.030767817,0.065550707,0.107155688,0.158804637,0.016547604,0.0288285,0.057688403,0.093282107,0.133160723
"rmsea.uncor.fimlc",0.0228024352397474,0.0394117840926579,0.0735438970517172,0.11689900592655,0.173173382528213,0.0465461298359793,0.0577991464052342,0.0847771677462735,0.125595364242911,0.180684760862433
"rmsea.cor.obs.nonn_str",0.0124674685477763,0.0274516353114778,0.0653331765683115,0.110679162790965,0.167954142102001,0.0176733808254545,0.0286284620230935,0.0634010748029536,0.110730702863811,0.169458154965933
"rmsea.cor.exp.nonn_str",0.0147530464515928,0.0307162296144893,0.0669278823808484,0.108370389587323,0.164385871829247,0.0207843922492912,0.0334190317171556,0.0670297278057856,0.109016087178051,0.160942745306413
"rmsea.cor.obs.nonn_unstr",0.0169918268026042,0.033930858658583,0.0705898153351681,0.115138613473232,0.171992845706605,0.0221979390446959,0.0364105156522375,0.0719384470431751,0.117522737646546,0.175219301835772
"rmsea.cor.obs_str",0.0164639531414169,0.0332114715702217,0.0709702207771645,0.114593079631237,0.17226876444611,0.0213299545858219,0.0352905207396694,0.0702313858951363,0.120195503068768,0.178645647117587
"rmsea.cor.exp_str",0.00334844576986231,0.0125759779753528,0.0476138843955173,0.108614984244761,0.168108510455151,0.00437826234163125,0.0101385008948318,0.0441943739335762,0.120692986201665,0.185243300732795
"rmsea.cor.obs_unstr",0.0162092483865105,0.0330184369043149,0.070127234355396,0.114854889130364,0.171826102755273,0.020877977870341,0.0351717739976154,0.0711346815905685,0.117109460159502,0.174896726976019
"rmsea.fiml1",0.008676391,0.030234979,0.065607895,0.107033299,0.159362447,0.009036822,0.02614809,0.057905531,0.093480478,0.133521602
"rmsea.uncor.fimlc1",0.0131368086525655,0.0352610931131576,0.0714270125528912,0.11552433533209,0.17385506472691,0.0261472072877984,0.0425060559639907,0.0760849024759217,0.120059206016932,0.177624769245139
"rmsea.cor.obs.nonn_str1",0.00820016653468872,0.0309286415390828,0.0686862492958264,0.113299723430878,0.171925447520138,0.00996222448255815,0.0292698999726525,0.068558106816536,0.114638002488858,0.174183760391139
"rmsea.cor.exp.nonn_str1",0.00883890301305588,0.0318149858013241,0.0691175422719498,0.112325153950347,0.170646650524018,0.0107321447590758,0.0309438436874021,0.0695531178920149,0.113994641643417,0.171893717281208
"rmsea.cor.obs.nonn_unstr1",0.00937631707934809,0.032579759513213,0.0702217695274276,0.1147855090974,0.173366360486486,0.0110292478299899,0.031940998407443,0.0711063760731685,0.116990701294164,0.175565287304295
"rmsea.cor.obs_str1",0.00923601566858434,0.0324555136736003,0.0701917557737828,0.114597023822373,0.173313232265175,0.010967312743228,0.0318420848164661,0.0709838042165093,0.11680777298855,0.175584828694731
"rmsea.cor.exp_str1",0.0063322864921219,0.0290773754745729,0.0660297275353954,0.112555194022454,0.170055365850037,0.00740309566841068,0.0270703906716703,0.0638911529254855,0.112378307672371,0.17207502434888
"rmsea.cor.obs_unstr1",0.00917465244471648,0.0323932496697004,0.0701600403108752,0.114744293766424,0.173339592118087,0.0107981814211485,0.0316627239653166,0.0709815866394412,0.116921222154802,0.175517277432809
"rmsea.fiml2",0.005592314,0.0308537,0.065753581,0.106873219,0.159556838,0.005557432,0.02731053,0.058015613,0.093316908,0.133547336
"rmsea.uncor.fimlc2",0.00850379653970597,0.0343366940616927,0.0709592357610462,0.114911481353487,0.174473607871948,0.0174693459031045,0.0385252683938501,0.0734761300646328,0.118260752575549,0.176562750374995
"rmsea.cor.obs.nonn_str2",0.00551747429810071,0.0324643221992444,0.0696788612604898,0.113854721221293,0.17357369933888,0.00632856097397303,0.0323507368820182,0.0698327436019041,0.115610981511375,0.174911876457408
"rmsea.cor.exp.nonn_str2",0.00572929174979457,0.0327705526289227,0.0698597438633008,0.113359669197653,0.172967387159567,0.00658646125935982,0.0329662060468748,0.0702802591055556,0.115315832732,0.173992416731019
"rmsea.cor.obs.nonn_unstr2",0.0058936436440311,0.0330355030090514,0.0703574940416055,0.114540763046992,0.174227510428662,0.00668733947918864,0.033362801145125,0.0709960090221471,0.116737594412129,0.17553977212777
"rmsea.cor.obs_str2",0.00586825269306322,0.0330120250337982,0.0703521711811179,0.114501887116603,0.174260807455797,0.00664450593214817,0.0333701108327642,0.0710033068011358,0.11745037274465,0.176548524342512
"rmsea.cor.exp_str2",0.00496649559781673,0.0320498303183262,0.0687930115775116,0.113658169960717,0.175166291954989,0.00550379840787715,0.0321238214451856,0.0687738930723286,0.118731321783233,0.179141018485956
"rmsea.cor.obs_unstr2",0.00584978663323561,0.0329922455437195,0.0703371641608395,0.114529094230636,0.174220291666,0.00658717549193782,0.0333082960870398,0.0709726609797317,0.116722760994004,0.175530366144132
