,FC=0;CR=0,FC=0;CR=0.1,FC=0;CR=0.2,FC=0;CR=0.3,FC=0;CR=0.4,FC=0.4;CR=0,FC=0.4;CR=0.1,FC=0.4;CR=0.2,FC=0.4;CR=0.3,FC=0.4;CR=0.4,FC=0.8;CR=0,FC=0.8;CR=0.1,FC=0.8;CR=0.2,FC=0.8;CR=0.3,FC=0.8;CR=0.4
,n=200,,,,,,,,,,,,,,
Wm_str.pos.def,0.962,0.897,0.439,0.013,0,0.955,0.894,0.404,0.006,0,0.949,0.899,0.398,0.006,0
Wcm.obs_str.pos.def,0.861,0.789,0.376,0.011,0,0.862,0.777,0.345,0.005,0,0.841,0.79,0.331,0.006,0
Wcm.exp_str.pos.def,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Wcm.obs_unstr.pos.def,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Wm_unstr.pos.def,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
WmB_str.pos.def,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WcmB.obs_str.pos.def,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WcmB.exp_str.pos.def,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fit.str.incomp.pos.def.implied,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fit.str.comp.pos.def.implied,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fit.base.incomp.pos.def.implied,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99
fit.base.compos.def.implied,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fit.str.incomp.pos.def.vcov,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fit.str.comp.pos.def.vcov,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fit.base.incomp.pos.def.vcov,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99
fit.base.comp.pos.def.vcov,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fit.str.incomp.mod.converge,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fit.str.comp.mod.converge,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fit.base.incomp.mod.converge,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fit.base.comp.mod.converge,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
k.obs_str.great.zero,0.999,0.997,0.992,0.979,0.977,0.999,0.999,0.992,0.974,0.977,1,0.999,0.992,0.96,0.966
