"","FC=0;CR=0","FC=0;CR=0.1","FC=0;CR=0.2","FC=0;CR=0.3","FC=0;CR=0.4","FC=0.4;CR=0","FC=0.4;CR=0.1","FC=0.4;CR=0.2","FC=0.4;CR=0.3","FC=0.4;CR=0.4","FC=0.8;CR=0","FC=0.8;CR=0.1","FC=0.8;CR=0.2","FC=0.8;CR=0.3","FC=0.8;CR=0.4"
"cfi",1,0.987036409796602,0.946774260792454,0.87369978393428,0.773162061126976,1,0.987274627695554,0.947688150107905,0.875733778309451,0.772877868911184,1,0.988040713797009,0.950676356613749,0.882246748755069,0.769406459132515
"cfi.fiml",0.990723983,0.985010512,0.960225816,0.914039074,0.83942354,0.991600152,0.985650979,0.96150076,0.914196578,0.839271019,0.991963016,0.987547438,0.964199776,0.917981772,0.841480276
"cfi.uncor.fimlc",0.952409076002723,0.941635846653869,0.907208947820823,0.848404676167877,0.762374077570417,0.954638591158579,0.943671504947278,0.909071113143985,0.848550315656518,0.761709211862083,0.957530101968574,0.948440549222037,0.915474559217231,0.853691239631845,0.761395223362985
"cfi.cor.obs.nonn_str",0.987818248190089,0.980684605146207,0.947084768733158,0.88351969696602,0.79156113673691,0.98974360996488,0.98289999965195,0.950070958166543,0.886000098937699,0.796793844624296,0.991557540146036,0.986890739443854,0.958356387623976,0.897047218706591,0.808881353022458
"cfi.cor.exp.nonn_str",0.985459374499048,0.976561002749293,0.940562171706196,0.879054899964969,0.784753308605731,0.985774364731105,0.976110928922349,0.937469884295084,0.872838191815784,0.778858290385577,0.982223568952954,0.972693338700035,0.926098926145622,0.850031942710411,0.75881714871931
"cfi.cor.obs.nonn_unstr",0.985449089734894,0.975981222284255,0.939542313534947,0.875046760312687,0.781724398822342,0.986715506987845,0.977482329461677,0.940797107711597,0.874789822120619,0.780785647380175,0.987219147091977,0.979668203978084,0.944692403058224,0.878416262543168,0.779184187691109
"cfi.cor.obs_str",0.986276297021109,0.968090213262845,0.937240098422441,0.871772944400372,0.772342640700736,0.987297114972505,0.976120293145656,0.94071221791686,0.871639693130614,0.772087052095231,0.986991221771405,0.980090933635343,0.946293211499339,0.875562488667158,0.774924375481669
"cfi.cor.exp_str",0.989116923918712,0.978569858043603,0.892342501664747,0.817888355525724,0.717842874757487,0.98315416211755,0.966796765121763,0.902842304593581,0.816143115931372,0.714354845772799,0.98175874824785,0.974871633628368,0.907632658638978,0.794964008780043,0.714937559277664
"cfi.cor.obs_unstr",0.986527746139932,0.977422885792387,0.941069710574012,0.876412467233133,0.782632091822438,0.98785455158644,0.978667372247777,0.942241032194604,0.87600044088145,0.781657327182888,0.988259258871263,0.980901454334718,0.946135912694194,0.879573891139573,0.779982377849017
"cfi.fiml1",0.996992015,0.990411668,0.963918162,0.913570744,0.837323065,0.997217245,0.990748171,0.964619712,0.915209018,0.838299417,0.997681926,0.991362375,0.967513377,0.92108577,0.838694533
"cfi.uncor.fimlc1",0.983215785062109,0.971272560417574,0.932999092926467,0.864886653397585,0.772619516297092,0.983568159877063,0.971673580548296,0.933999588638894,0.86702889743712,0.772553490981183,0.985476765396821,0.973632814154521,0.938732848233505,0.873989146464296,0.769215714065977
"cfi.cor.obs.nonn_str1",0.995930369449287,0.98672428405214,0.948252997509369,0.878004361906448,0.782922573590638,0.996329630455758,0.987088735349083,0.949513517320276,0.880894633467507,0.78516537974364,0.997151291789252,0.988392601874321,0.95467836628735,0.890238564438895,0.787208188687105
"cfi.cor.exp.nonn_str1",0.995650439543476,0.985544565441702,0.945615906138657,0.877395930127844,0.776941872326567,0.995835788298717,0.985302906222157,0.945003077493835,0.876539677786378,0.774640842118945,0.996195863627822,0.984958960598545,0.944980579470926,0.874646380320454,0.769150243541552
"cfi.cor.obs.nonn_unstr1",0.995647623707151,0.985505322664464,0.945950903482037,0.875414310899309,0.780176690012368,0.995944066588689,0.985642824389939,0.946673702803529,0.87736371190467,0.780028235267612,0.996607414251977,0.986414013723025,0.950420273573895,0.883699643657118,0.77620249612843
"cfi.cor.obs_str1",0.995761665757723,0.984739858214574,0.945440290195671,0.876438171531217,0.777311748114462,0.995089332364907,0.985819565797655,0.947174081935579,0.878323545887664,0.778349561612184,0.996702970937042,0.986560030720498,0.950708896721898,0.884675563492736,0.772172912150747
