"","FC=0.8;CR=0","FC=0.8;CR=0.1","FC=0.8;CR=0.2","FC=0.8;CR=0.3","FC=0.8;CR=0.4"
"cfi",1,0.988040713797009,0.950676356613749,0.882246748755069,0.769406459132515
"cfi.fiml",0.991963016,0.987547438,0.964199776,0.917981772,0.841480276
"cfi.uncor.fimlc",0.957530101968574,0.948440549222037,0.915474559217231,0.853691239631845,0.761395223362985
"cfi.cor.obs.nonn_str",0.991557540146036,0.986890739443854,0.958356387623976,0.897047218706591,0.808881353022458
"cfi.cor.exp.nonn_str",0.982223568952954,0.972693338700035,0.926098926145622,0.850031942710411,0.75881714871931
"cfi.cor.obs.nonn_unstr",0.987219147091977,0.979668203978084,0.944692403058224,0.878416262543168,0.779184187691109
"cfi.cor.obs_str",0.986991221771405,0.980090933635343,0.946293211499339,0.875562488667158,0.774924375481669
"cfi.cor.exp_str",0.98175874824785,0.974871633628368,0.907632658638978,0.794964008780043,0.714937559277664
"cfi.cor.obs_unstr",0.988259258871263,0.980901454334718,0.946135912694194,0.879573891139573,0.779982377849017
"cfi.fiml1",0.997681926,0.991362375,0.967513377,0.92108577,0.838694533
"cfi.uncor.fimlc1",0.985476765396821,0.973632814154521,0.938732848233505,0.873989146464296,0.769215714065977
"cfi.cor.obs.nonn_str1",0.997151291789252,0.988392601874321,0.95467836628735,0.890238564438895,0.787208188687105
"cfi.cor.exp.nonn_str1",0.996195863627822,0.984958960598545,0.944980579470926,0.874646380320454,0.769150243541552
"cfi.cor.obs.nonn_unstr1",0.996607414251977,0.986414013723025,0.950420273573895,0.883699643657118,0.77620249612843
"cfi.cor.obs_str1",0.996702970937042,0.986560030720498,0.950708896721898,0.884675563492736,0.772172912150747
"cfi.cor.exp_str1",0.966667102880066,0.937202240724661,0.910940103581217,0.824945641434308,0.742710863085335
"cfi.cor.obs_unstr1",0.996748637279006,0.986647735894551,0.950664921693949,0.883893117971877,0.776337986413242
"cfi.fiml2",0.998807605,0.992210567,0.967988271,0.92010062,0.836679133
"cfi.uncor.fimlc2",0.992901244078632,0.981354534234039,0.94527618433607,0.877468810124605,0.770032949009828
"cfi.cor.obs.nonn_str2",0.998490089016345,0.988670957783121,0.953091349215447,0.885432926812275,0.778390269188256
"cfi.cor.exp.nonn_str2",0.998261888586358,0.987223505399465,0.948551169786257,0.877908368221891,0.770237223775054
"cfi.cor.obs.nonn_unstr2",0.998354983988083,0.987849703446614,0.951120358018034,0.88229104368481,0.773480130820423
"cfi.cor.obs_str2",0.99837147890118,0.98787597577281,0.951185281130412,0.882523174359752,0.773591255486965
"cfi.cor.exp_str2",0.968666027101484,0.938060598975145,0.92752560186875,0.845803953161038,0.746725944834109
"cfi.cor.obs_unstr2",0.998388090579102,0.987904518725301,0.951173975934311,0.882340336683444,0.773516314619215
