"","FC=0;CR=0","FC=0;CR=0.1","FC=0;CR=0.2","FC=0;CR=0.3","FC=0;CR=0.4","FC=0.4;CR=0","FC=0.4;CR=0.1","FC=0.4;CR=0.2","FC=0.4;CR=0.3","FC=0.4;CR=0.4","FC=0.8;CR=0","FC=0.8;CR=0.1","FC=0.8;CR=0.2","FC=0.8;CR=0.3","FC=0.8;CR=0.4"
"rmsea",0,0.0329345190569111,0.0691899191677835,0.112852608251108,0.166227254820231,0,0.0330694188650672,0.0694380974597692,0.113153153078136,0.167805884119265,0,0.0337303313461817,0.0706374897500186,0.114762724560868,0.174890630107566
"rmsea.fiml",0.017213352,0.025352848,0.049304655,0.078246773,0.115434347,0.016429763,0.025270176,0.049126142,0.079350153,0.11661229,0.017473721,0.024597108,0.050411841,0.081430768,0.121310959
"rmsea.uncor.fimlc",0.0614117114457461,0.0698425913462826,0.0920330150376884,0.125291447806576,0.172738035657503,0.0605479912691677,0.0696113074705174,0.0924088486788213,0.126758387167131,0.174126873624366,0.0619380264510115,0.0696945475617601,0.0932206264200707,0.129533007264633,0.180457487406481
"rmsea.cor.obs.nonn_str",0.0206837473580678,0.0303104025813476,0.0628064318724842,0.103600541130745,0.154355976358145,0.0188479048530908,0.0291638879615033,0.0622013364138618,0.104871866791002,0.154415835509917,0.0188599961117683,0.0266878536365594,0.0619098233134678,0.107122432582751,0.159702882891987
"rmsea.cor.exp.nonn_str",0.0222514742750409,0.0329173466814661,0.0639338192665812,0.100269277201578,0.14747231871725,0.0212085713727928,0.0328221077700646,0.0639824236304128,0.101141744881149,0.145983676647603,0.0234026887302964,0.0326617439043253,0.0659100867921527,0.103540654287649,0.144432145144774
"rmsea.cor.obs.nonn_unstr",0.0252002267610388,0.0377607813947919,0.0709720272714939,0.111285726489607,0.162983241630903,0.0241730466299979,0.0373294517337027,0.0710328136234279,0.112844359740256,0.164449564310137,0.0256612674562979,0.0369278796133079,0.072311541782221,0.115760826372477,0.171104995075028
"rmsea.cor.obs_str",0.0239017884126776,0.0389572588993759,0.0676724280477225,0.109166772102883,0.166235199522708,0.0229663626234947,0.0352513697474475,0.0683183711042933,0.112803786892147,0.166523973348509,0.0242683415478738,0.0344430914450858,0.0697251796615081,0.113846777350977,0.172171209877136
"rmsea.cor.exp_str",0.00407755982332429,0.0264658324070003,0.0474272633955029,0.108579507320244,0.172824990279395,0.00470550984658724,0.0109552769427453,0.0493853083022944,0.107825846995436,0.172054689968987,0.00536380120435076,0.00978638885535532,0.0677760616459775,0.112902909021849,0.177456529256116
"rmsea.cor.obs_unstr",0.0235807789755178,0.0358989432298816,0.0697963819566429,0.110546328815349,0.162522970775748,0.0225112609910653,0.0358606793205884,0.0699020589167803,0.112180896696409,0.163999619820481,0.0240445187425553,0.0350939937047127,0.0711229331566926,0.115091281199214,0.170683741755074
"rmsea.fiml1",0.009091013,0.022200558,0.048729119,0.07920009,0.116312581,0.00894355,0.022211005,0.048998475,0.07947133,0.117239709,0.008472137,0.022793039,0.049527787,0.080458375,0.122191495
