"","CR=0","CR=0.1","CR=0.2","CR=0.3","CR=0.4","CR=0","CR=0.1","CR=0.2","CR=0.3","CR=0.4"
"rmsea",0,0.0337303313461817,0.0706374897500186,0.114762724560868,0.174890630107566,0,0.0337303313461817,0.0706374897500186,0.114762724560868,0.174890630107566
"rmsea.fiml",0.015380257,0.030767817,0.065550707,0.107155688,0.158804637,0.016547604,0.0288285,0.057688403,0.093282107,0.133160723
"rmsea.uncor",0.022638823,0.039230535,0.073355275,0.116499415,0.171940417,0.045545034,0.056791655,0.083471478,0.122833878,0.174938011
"rmsea.cor.str",0.0118634150772092,0.0270519062819919,0.0653015704044622,0.110638813836224,0.167040931753275,0.0177732161472896,0.0295762558489394,0.0643649016528495,0.109689332935573,0.165023849122303
"rmsea.cor.unstr",0.0162574617168854,0.033121874744094,0.070080760890071,0.114556054194064,0.17065915559514,0.0215305681736715,0.0355932905590763,0.0707021627688625,0.114819600260911,0.169625489211778
"rmsea.fiml1",0.008711521,0.030073328,0.065860393,0.107054547,0.159335399,0.008513737,0.02639742,0.058285622,0.093230084,0.133644824
"rmsea.uncor1",0.013060408,0.03503104,0.071634539,0.11519349,0.172512803,0.025511845,0.042402573,0.075573131,0.11727021,0.173753658
"rmsea.cor.str1",0.00798469207088721,0.0307181447148068,0.0690401342007813,0.113163955675046,0.170613864862998,0.00948435955205856,0.0300470875513687,0.0687733864592576,0.112428046586008,0.169829874742085
"rmsea.cor.unstr1",0.00910204085172141,0.0321996619966029,0.0703939273954849,0.114430449340022,0.172019223924786,0.0105043016817547,0.0319944757035683,0.0706882804810858,0.114222032653515,0.171770027195482
"rmsea.fiml2",0.005592314,0.0308537,0.065753581,0.106873219,0.159556838,0.005557432,0.02731053,0.058015613,0.093316908,0.133547336
"rmsea.uncor2",0.008470538,0.034296557,0.070861068,0.114620212,0.172924184,0.017200894,0.03822786,0.072734198,0.115883884,0.173418925
"rmsea.cor.str2",0.00546088779014795,0.0324819502523961,0.0696615442335094,0.113664280107093,0.171985795180451,0.00627644804022656,0.0324000244586126,0.0694128124967888,0.113523559039535,0.171446159189621
"rmsea.cor.unstr2",0.00583488861908707,0.0329751582159728,0.070250616070093,0.114245041230947,0.172683747035878,0.0066105547454088,0.0331295477760203,0.0702836990896236,0.114372416439056,0.172444901602799
