"","FC=0;CR=0","FC=0;CR=0.1","FC=0;CR=0.2","FC=0;CR=0.3","FC=0;CR=0.4","FC=0.4;CR=0","FC=0.4;CR=0.1","FC=0.4;CR=0.2","FC=0.4;CR=0.3","FC=0.4;CR=0.4","FC=0.8;CR=0","FC=0.8;CR=0.1","FC=0.8;CR=0.2","FC=0.8;CR=0.3","FC=0.8;CR=0.4"
"Wm.unstr.pos.def",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Wc_unstr.pos.def",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Wc_str.pos.def",0.938,0.874,0.539,0.013,0,0.946,0.902,0.519,0.009,0,0.93,0.868,0.51,0.009,0
"WcB_unstr.pos.def",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"WcB_str.pos.def",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fit1.imp.pos.def",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"fit2.imp.pos.def",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"fit1B.imp.pos.def",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"fit2B.imp.pos.def",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"fit1.vcov.pos.def",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"fit2.vcov.pos.def",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"fit1B.vcov.pos.def",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"fit2B.vcov.pos.def",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"fit1.converge",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"fit2.converge",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"fit1B.converge",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"fit2B.converge",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"c.str.great.zero",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"cB.str.great.zero",1,1,1,1,1,1,1,1,1,1,0.981,0.972,0.946,0.947,0.932
"c.str.c.less.kb",1,1,1,1,1,0.999,1,0.995,0.989,0.955,0.404,0.328,0.247,0.223,0.181
"c.str.c.less.chi",0.739,1,0.42,0.968,1,0.773,1,0.371,0.956,1,0.722,1,0.378,0.972,1
"cB.str.cB.less.chiB",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"c.unstr.great.zero",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
