"","FC=0;CR=0","FC=0;CR=0.1","FC=0;CR=0.2","FC=0;CR=0.3","FC=0;CR=0.4","FC=0.4;CR=0","FC=0.4;CR=0.1","FC=0.4;CR=0.2","FC=0.4;CR=0.3","FC=0.4;CR=0.4","FC=0.8;CR=0","FC=0.8;CR=0.1","FC=0.8;CR=0.2","FC=0.8;CR=0.3","FC=0.8;CR=0.4"
"rmsea",0,0.0329345190569111,0.0691899191677835,0.112852608251108,0.166227254820231,0,0.0330694188650672,0.0694380974597692,0.113153153078136,0.167805884119265,0,0.0337303313461817,0.0706374897500186,0.114762724560868,0.174890630107566
"rmsea.fiml",0.014515593,0.025577551,0.054024844,0.086534084,0.122261135,0.015982421,0.026397017,0.055220782,0.087897119,0.124064917,0.016547604,0.0288285,0.057688403,0.093282107,0.133160723
"rmsea.uncor",0.043359117,0.054754686,0.081561151,0.119844518,0.167788314,0.044739073,0.055073168,0.082455219,0.120150034,0.169257366,0.045545034,0.056791655,0.083471478,0.122833878,0.174938011
"rmsea.cor.str",0.0172404360805579,0.0292367486793078,0.0630684625746207,0.106686212711368,0.158031203754819,0.0185781489621355,0.028698202267478,0.0640139147227168,0.106991865981168,0.159437537843653,0.0177732161472896,0.0295762558489394,0.0643649016528495,0.109689332935573,0.165023849122303
"rmsea.cor.unstr",0.0193859415159931,0.0335017292980517,0.0687196802530733,0.111868698799617,0.162331942436232,0.0212430456460942,0.033487066828329,0.0697100302354204,0.112217720929735,0.163852911904383,0.0215305681736715,0.0355932905590763,0.0707021627688625,0.114819600260911,0.169625489211778
"rmsea.fiml1",0.008652012,0.024952002,0.054224622,0.086134503,0.121470658,0.008302814,0.025082639,0.055281753,0.087612373,0.123553867,0.008513737,0.02639742,0.058285622,0.093230084,0.133644824
"rmsea.uncor1",0.025512784,0.04206604,0.073535187,0.114612483,0.165294308,0.025249727,0.041965439,0.074239091,0.114767744,0.166586281,0.025511845,0.042402573,0.075573131,0.11727021,0.173753658
"rmsea.cor.str1",0.0105237038334988,0.0299427024935046,0.0666586388809453,0.109483686278374,0.161508789346169,0.00979394840998092,0.0297280028267368,0.0673709398109214,0.109723191909054,0.162762331135234,0.00948435955205856,0.0300470875513687,0.0687733864592576,0.112428046586008,0.169829874742085
"rmsea.cor.unstr1",0.011161352423262,0.0316069379059002,0.0685456253744168,0.111508290534228,0.163231318562496,0.0105087611740826,0.0314730184115746,0.0692944074456081,0.111692084181257,0.164534325242109,0.0105043016817547,0.0319944757035683,0.0706882804810858,0.114222032653515,0.171770027195482
"rmsea.fiml2",0.005968765,0.025475279,0.054302353,0.086295663,0.121009723,0.005894542,0.025887527,0.054880989,0.087588616,0.123464839,0.005557432,0.02731053,0.058015613,0.093316908,0.133547336
"rmsea.uncor2",0.017463581,0.037366854,0.071048501,0.113427622,0.164849125,0.017374664,0.037544708,0.07125765,0.113843751,0.166512373,0.017200894,0.03822786,0.072734198,0.115883884,0.173418925
"rmsea.cor.str2",0.00702402399329737,0.0314458352598379,0.0676676884857542,0.110946756983601,0.162952822237678,0.00701565978613825,0.0316126651044258,0.0678761482339015,0.111401836906238,0.16462523218983,0.00627644804022656,0.0324000244586126,0.0694128124967888,0.113523559039535,0.171446159189621
"rmsea.cor.unstr2",0.00724227855840797,0.0321339656369294,0.068568621634847,0.111898023185584,0.163821345952043,0.00727913977157647,0.0323235989570449,0.068767924530136,0.112317444110917,0.165499335158678,0.0066105547454088,0.0331295477760203,0.0702836990896236,0.114372416439056,0.172444901602799
