"","FC=0;CR=0","FC=0;CR=0.1","FC=0;CR=0.2","FC=0;CR=0.3","FC=0;CR=0.4","FC=0.4;CR=0","FC=0.4;CR=0.1","FC=0.4;CR=0.2","FC=0.4;CR=0.3","FC=0.4;CR=0.4","FC=0.8;CR=0","FC=0.8;CR=0.1","FC=0.8;CR=0.2","FC=0.8;CR=0.3","FC=0.8;CR=0.4"
"cfi",1,0.987036409796602,0.946774260792454,0.87369978393428,0.773162061126976,1,0.987274627695554,0.947688150107905,0.875733778309451,0.772877868911184,1,0.988040713797009,0.950676356613749,0.882246748755069,0.769406459132515
"cfi.fiml",0.993361447,0.986367875,0.960090415,0.911643858,0.853326248,0.992760145,0.986343353,0.95959609,0.910898784,0.851868716,0.993308502,0.985980995,0.960453793,0.908404994,0.840562192
"cfi.uncor",0.9732505,0.961465245,0.925743436,0.858508244,0.772318541,0.972482011,0.962399299,0.92576228,0.86065483,0.772536029,0.974343287,0.963705936,0.930707589,0.865637868,0.770858965
"cfi.cor.str",0.990791014015581,0.982341781398521,0.948849416620113,0.878222589839435,0.784735570750035,0.990412768901859,0.98404886075022,0.949860583496439,0.882190258938892,0.788423668121079,0.992157722642947,0.985603140419318,0.956614473565512,0.892270239449277,0.79676280464467
"cfi.cor.unstr",0.99018279104471,0.980176331710554,0.944078227661714,0.873602833620669,0.783036392893066,0.989291119474651,0.981183004353146,0.944117222104435,0.875442472274822,0.783030752957813,0.989970192696248,0.98118624463214,0.947641213503272,0.879843313165121,0.780914460394037
"cfi.fiml1",0.997517256,0.989874424,0.961739144,0.913626168,0.855119548,0.997732517,0.990044279,0.961223182,0.912646698,0.853428041,0.997941212,0.990452206,0.961079983,0.909691622,0.840925039
"cfi.uncor1",0.990215758,0.977885287,0.939587109,0.869978265,0.776276881,0.99075839,0.978463519,0.939817674,0.872171939,0.777221959,0.991578819,0.980312478,0.943088213,0.876884171,0.773213241
"cfi.cor.str1",0.996698917507207,0.986696228167548,0.94840816277566,0.877665186763489,0.781015017606249,0.99713403936053,0.987187420594665,0.948847088521283,0.880371052726118,0.783308645306413,0.997526919852307,0.988781462929647,0.952639985589895,0.886871700909935,0.783894694411574
"cfi.cor.unstr1",0.996552013607456,0.985872992263325,0.946800393553792,0.875860837611384,0.780369393570882,0.996937540432725,0.986226284446863,0.946871218885442,0.877906721752879,0.781245850780503,0.997190933847713,0.987492737205683,0.949617459668998,0.882292004531754,0.776990789736583
"cfi.fiml2",0.998804167,0.990591224,0.96201117,0.913693257,0.85636119,0.998866651,0.990604209,0.962166846,0.913253775,0.854086519,0.999055487,0.990731639,0.961845803,0.909853687,0.841500188
"cfi.uncor2",0.995370512,0.982882798,0.943755709,0.872581437,0.776930641,0.995500347,0.983194188,0.94467773,0.874393043,0.777189244,0.996099301,0.984278553,0.947496505,0.879779758,0.773732764
"cfi.cor.str2",0.998501397182272,0.987271230528156,0.948074555101926,0.87625453321798,0.779314406184371,0.998555330160747,0.987579306483794,0.949097487343838,0.878320672278726,0.78019369862101,0.998853207892986,0.98842442943462,0.952135087612263,0.884689176443189,0.779152124913263
"cfi.cor.unstr2",0.998464213257205,0.986916463686773,0.947329402751892,0.875488224989463,0.778976757839425,0.998503557983399,0.987171437431142,0.948199477358285,0.87725109888081,0.779183250045096,0.998770841798584,0.9878876467758,0.950732531436177,0.882461771641395,0.77558922416606
