"Fmin","Fmin_B","CFI","RMSEA","Size_Of_CR","FC","Number_Of_CR","Location_Of_Misfit","Percent_Missing","Number_of_Missing_Variables","Missing_Mechanism"
4.7e-05,4.258323,1,0,0,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","0%"," Two Variables with Missing Data","  MCAR"
0.024611,4.345509,0.994349,0.021526,0.1,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","0%"," Two Variables with Missing Data","  MCAR"
0.102875,4.509286,0.977197,0.044046,0.2,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","0%"," Two Variables with Missing Data","  MCAR"
0.240814,4.795026,0.949789,0.067399,0.3,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","0%"," Two Variables with Missing Data","  MCAR"
0.390602,5.347728,0.926968,0.085842,0.4,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","0%"," Two Variables with Missing Data","  MCAR"
5.2e-05,4.38073,1,0,0,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","0%"," Two Variables with Missing Data","  MCAR"
0.025247,4.466813,0.99436,0.021803,0.1,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","0%"," Two Variables with Missing Data","  MCAR"
0.106213,4.629738,0.97707,0.044755,0.2,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","0%"," Two Variables with Missing Data","  MCAR"
0.253956,4.914797,0.948338,0.069214,0.3,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","0%"," Two Variables with Missing Data","  MCAR"
0.423395,5.466945,0.922562,0.089373,0.4,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","0%"," Two Variables with Missing Data","  MCAR"
4.2e-05,4.881164,1,0,0,"Factor Correlation = 0.8","One Correlated Residual","Different Factor (DF)","0%"," Two Variables with Missing Data","  MCAR"
0.028192,4.961025,0.994328,0.023042,0.1,"Factor Correlation = 0.8","One Correlated Residual","Different Factor (DF)","0%"," Two Variables with Missing Data","  MCAR"
0.120714,5.119127,0.976429,0.047714,0.2,"Factor Correlation = 0.8","One Correlated Residual","Different Factor (DF)","0%"," Two Variables with Missing Data","  MCAR"
0.306272,5.400326,0.943296,0.076011,0.3,"Factor Correlation = 0.8","One Correlated Residual","Different Factor (DF)","0%"," Two Variables with Missing Data","  MCAR"
0.585119,5.94932,0.901657,0.105067,0.4,"Factor Correlation = 0.8","One Correlated Residual","Different Factor (DF)","0%"," Two Variables with Missing Data","  MCAR"
5e-05,4.055916,1,0,0,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","20%"," Two Variables with Missing Data","  MCAR"
0.024612,4.143668,0.994073,0.021526,0.1,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","20%"," Two Variables with Missing Data","  MCAR"
0.102876,4.307445,0.976129,0.044046,0.2,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","20%"," Two Variables with Missing Data","  MCAR"
0.240815,4.593184,0.947582,0.067399,0.3,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","20%"," Two Variables with Missing Data","  MCAR"
0.390602,5.145847,0.924103,0.085842,0.4,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","20%"," Two Variables with Missing Data","  MCAR"
5.3e-05,4.176072,1,2.7e-05,0,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","20%"," Two Variables with Missing Data","  MCAR"
0.025245,4.262567,0.99409,0.021802,0.1,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","20%"," Two Variables with Missing Data","  MCAR"
